source	destination	status
Kickstart v1.2 r33.166 (1986-09)(Commodore)(A1000)[b].zip	kickstart/v1-2-r33-166/a1000/bad-dump/kickstart-v1-2-r33-166-1986-09-commodore-a1000-b.rom	moved
Kickstart v1.2 r33.180 (1986-10)(Commodore)(A500-A1000-A2000)[!].zip	kickstart/v1-2-r33-180/a500-a1000-a2000/good/kickstart-v1-2-r33-180-1986-10-commodore-a500-a1000-a2000-good.rom	moved
Kickstart v1.2 r33.180 (1986-10)(Commodore)(A500-A1000-A2000)[h HQC].zip	kickstart/v1-2-r33-180/a500-a1000-a2000/hack-hqc/kickstart-v1-2-r33-180-1986-10-commodore-a500-a1000-a2000-h-hqc.rom	moved
Kickstart v1.2 r33.180 (1986-10)(Commodore)(A500-A1000-A2000)[h Level42].zip	kickstart/v1-2-r33-180/a500-a1000-a2000/hack-level42/kickstart-v1-2-r33-180-1986-10-commodore-a500-a1000-a2000-h-level42.rom	moved
Kickstart v1.2 r33.180 (1986-10)(Commodore)(A500-A1000-A2000)[o].zip	kickstart/v1-2-r33-180/a500-a1000-a2000/overdump/kickstart-v1-2-r33-180-1986-10-commodore-a500-a1000-a2000-o.rom	moved
Kickstart v1.2 r33.180 (1986-10)(Commodore)(A500-A1000-A2000)[o][b].zip	kickstart/v1-2-r33-180/a500-a1000-a2000/overdump-bad-dump/kickstart-v1-2-r33-180-1986-10-commodore-a500-a1000-a2000-o-b.rom	moved
Kickstart v1.2 r33.180 (1986-10)(Commodore)(A500-A1000-A2000)[o][encrypted, needs rom.key].zip	kickstart/v1-2-r33-180/a500-a1000-a2000/overdump-encrypted-needs-rom-key/kickstart-v1-2-r33-180-1986-10-commodore-a500-a1000-a2000-o-encrypted-needs-rom-key.rom	moved
Kickstart v1.3 r34.005 (1987-12)(Commodore)(A3000)[!].zip	kickstart/v1-3-r34-005/a3000/good/kickstart-v1-3-r34-005-1987-12-commodore-a3000-good.rom	moved
Kickstart v1.3 r34.005 (1987-12)(Commodore)(A3000)[encrypted, needs rom.key].zip	kickstart/v1-3-r34-005/a3000/encrypted-needs-rom-key/kickstart-v1-3-r34-005-1987-12-commodore-a3000-encrypted-needs-rom-key.rom	moved
Kickstart v1.3 r34.005 (1987-12)(Commodore)(A3000)[h DC].zip	kickstart/v1-3-r34-005/a3000/hack-dc/kickstart-v1-3-r34-005-1987-12-commodore-a3000-h-dc.rom	moved
Kickstart v1.3 r34.005 (1987-12)(Commodore)(A3000)[h DC][a].zip	kickstart/v1-3-r34-005/a3000/hack-dc-a/kickstart-v1-3-r34-005-1987-12-commodore-a3000-h-dc-a.rom	moved
Kickstart v1.3 r34.005 (1987-12)(Commodore)(A3000)[h Galahad][ReloKick v1.4a].zip	kickstart/v1-3-r34-005/a3000/hack-galahad-relokick-v1-4a/kickstart-v1-3-r34-005-1987-12-commodore-a3000-h-galahad-relokick-v1-4a.rom	moved
Kickstart v1.3 r34.005 (1987-12)(Commodore)(A3000)[h Geesus][ReloKick v1.41].zip	kickstart/v1-3-r34-005/a3000/hack-geesus-relokick-v1-41/kickstart-v1-3-r34-005-1987-12-commodore-a3000-h-geesus-relokick-v1-41.rom	moved
Kickstart v1.3 r34.005 (1987-12)(Commodore)(A3000)[h Geesus][o][ReloKick v1.41].zip	kickstart/v1-3-r34-005/a3000/hack-geesus-overdump-relokick-v1-41/kickstart-v1-3-r34-005-1987-12-commodore-a3000-h-geesus-o-relokick-v1-41.rom	moved
Kickstart v1.3 r34.005 (1987-12)(Commodore)(A3000)[h2][unknown hack].zip	kickstart/v1-3-r34-005/a3000/hack-2-unknown-hack/kickstart-v1-3-r34-005-1987-12-commodore-a3000-h2-unknown-hack.rom	moved
Kickstart v1.3 r34.005 (1987-12)(Commodore)(A3000)[h][unknown hack].zip	kickstart/v1-3-r34-005/a3000/hack-unknown-hack/kickstart-v1-3-r34-005-1987-12-commodore-a3000-h-unknown-hack.rom	moved
Kickstart v1.3 r34.005 (1987-12)(Commodore)(A3000)[o].zip	kickstart/v1-3-r34-005/a3000/overdump/kickstart-v1-3-r34-005-1987-12-commodore-a3000-o.rom	moved
Kickstart v1.3 r34.005 (1987-12)(Commodore)(A3000)[o][encrypted, needs rom.key].zip	kickstart/v1-3-r34-005/a3000/overdump-encrypted-needs-rom-key/kickstart-v1-3-r34-005-1987-12-commodore-a3000-o-encrypted-needs-rom-key.rom	moved
Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV)[!].zip	kickstart/v1-3-r34-005/a500-a1000-a2000-cdtv/good/kickstart-v1-3-r34-005-1987-12-commodore-a500-a1000-a2000-cdtv-good.rom	moved
Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV)[h Leonardo Fei][Guardian 1.2r].zip	kickstart/v1-3-r34-005/a500-a1000-a2000-cdtv/hack-leonardo-fei-guardian-1-2r/kickstart-v1-3-r34-005-1987-12-commodore-a500-a1000-a2000-cdtv-h-leonardo-fei-guardian-1-2r.rom	moved
Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV)[o].zip	kickstart/v1-3-r34-005/a500-a1000-a2000-cdtv/overdump/kickstart-v1-3-r34-005-1987-12-commodore-a500-a1000-a2000-cdtv-o.rom	moved
Kickstart v1.4 alpha 15 r36.015 (1989-05)(Commodore)(beta).zip	kickstart/kickstart-v1-4-alpha-15-r36-015/common/beta/kickstart-v1-4-alpha-15-r36-015-1989-05-commodore-beta.rom	moved
Kickstart v1.4 alpha 18 r36.002 (1989-12)(Commodore)[!][developer].zip	kickstart/kickstart-v1-4-alpha-18-r36-002/common/good-developer/kickstart-v1-4-alpha-18-r36-002-1989-12-commodore-good-developer.rom	moved
Kickstart v1.4 alpha 18 r36.002 (1989-12)(Commodore)[developer][KickIt].zip	kickstart/kickstart-v1-4-alpha-18-r36-002/common/developer-kickit/kickstart-v1-4-alpha-18-r36-002-1989-12-commodore-developer-kickit.rom	moved
Kickstart v2.0 beta 5 r36.067 (1990-05)(Commodore)(beta).zip	kickstart/kickstart-v2-0-beta-5-r36-067/common/beta/kickstart-v2-0-beta-5-r36-067-1990-05-commodore-beta.rom	moved
Kickstart v2.0 beta 5 r36.067 (1990-05)(Commodore)(beta)[KickIt].zip	kickstart/kickstart-v2-0-beta-5-r36-067/common/beta-kickit/kickstart-v2-0-beta-5-r36-067-1990-05-commodore-beta-kickit.rom	moved
Kickstart v2.0 beta 5 r36.067 (1990-05)(Commodore)(beta)[bootable].zip	kickstart/kickstart-v2-0-beta-5-r36-067/common/beta-bootable/kickstart-v2-0-beta-5-r36-067-1990-05-commodore-beta-bootable.adf	moved
Kickstart v2.0 r36.028 (1990-03)(Commodore)(A3000)(beta)[!][SuperKickstart].zip	kickstart/v2-0-r36-028/a3000/beta-good-superkickstart/kickstart-v2-0-r36-028-1990-03-commodore-a3000-beta-good-superkickstart.rom	moved
Kickstart v2.0 r36.141 (1990-06)(Commodore)(A3000)(beta)[b].zip	kickstart/v2-0-r36-141/a3000/beta-bad-dump/kickstart-v2-0-r36-141-1990-06-commodore-a3000-beta-b.rom	moved
Kickstart v2.0 r36.143 (1990-08)(Commodore)(A3000)[SuperKickstart].zip	kickstart/v2-0-r36-143/a3000/superkickstart/kickstart-v2-0-r36-143-1990-08-commodore-a3000-superkickstart.rom	moved
Kickstart v2.02 r36.207 (1990-10)(Commodore)(A3000)[!][SuperKickstart].zip	kickstart/v2-02-r36-207/a3000/good-superkickstart/kickstart-v2-02-r36-207-1990-10-commodore-a3000-good-superkickstart.rom	moved
Kickstart v2.03 r37.074 (1991)(Commodore)(beta).zip	kickstart/v2-03-r37-074/common/beta/kickstart-v2-03-r37-074-1991-commodore-beta.rom	moved
Kickstart v2.03 r37.074 (1991)(Commodore)(beta)[KickIt].zip	kickstart/v2-03-r37-074/common/beta-kickit/kickstart-v2-03-r37-074-1991-commodore-beta-kickit.rom	moved
Kickstart v2.03 r37.092 (1991-04)(Commodore)(beta).zip	kickstart/v2-03-r37-092/common/beta/kickstart-v2-03-r37-092-1991-04-commodore-beta.rom	moved
Kickstart v2.04 r37.175 (1991-05)(Commodore)(A2000)[developer].zip	kickstart/v2-04-r37-175/a2000/developer/kickstart-v2-04-r37-175-1991-05-commodore-a2000-developer.rom	moved
Kickstart v2.04 r37.175 (1991-05)(Commodore)(A2000)[developer][KickIt].zip	kickstart/v2-04-r37-175/a2000/developer-kickit/kickstart-v2-04-r37-175-1991-05-commodore-a2000-developer-kickit.rom	moved
Kickstart v2.04 r37.175 (1991-05)(Commodore)(A3000).zip	kickstart/v2-04-r37-175/a3000/standard/kickstart-v2-04-r37-175-1991-05-commodore-a3000.rom	moved
Kickstart v2.04 r37.175 (1991-05)(Commodore)(A500+)[!].zip	kickstart/v2-04-r37-175/a500plus/good/kickstart-v2-04-r37-175-1991-05-commodore-a500plus-good.rom	moved
Kickstart v2.04 r37.175 (1991-05)(Commodore)(A500+)[b ftp transfer].zip	kickstart/v2-04-r37-175/a500plus/b-ftp-transfer/kickstart-v2-04-r37-175-1991-05-commodore-a500plus-b-ftp-transfer.rom	moved
Kickstart v2.04 r37.175 (1991-05)(Commodore)(A500+)[encrypted, needs rom.key].zip	kickstart/v2-04-r37-175/a500plus/encrypted-needs-rom-key/kickstart-v2-04-r37-175-1991-05-commodore-a500plus-encrypted-needs-rom-key.rom	moved
Kickstart v2.04 r37.175 (1991-05)(Commodore)(A500+)[o][b ftp transfer].zip	kickstart/v2-04-r37-175/a500plus/overdump-b-ftp-transfer/kickstart-v2-04-r37-175-1991-05-commodore-a500plus-o-b-ftp-transfer.rom	moved
Kickstart v2.05 r37.210 (1991-11)(Commodore)[developer].zip	kickstart/v2-05-r37-210/common/developer/kickstart-v2-05-r37-210-1991-11-commodore-developer.rom	moved
Kickstart v2.05 r37.210 (1991-11)(Commodore)[developer][KickIt].zip	kickstart/v2-05-r37-210/common/developer-kickit/kickstart-v2-05-r37-210-1991-11-commodore-developer-kickit.rom	moved
Kickstart v2.05 r37.210 (1991-11)(Commodore)[h FLT][developer][bootable].zip	kickstart/v2-05-r37-210/common/hack-flt-developer-bootable/kickstart-v2-05-r37-210-1991-11-commodore-h-flt-developer-bootable.adf	moved
Kickstart v2.05 r37.210 (1991-11)(Commodore)[h][developer].zip	kickstart/v2-05-r37-210/common/hack-developer/kickstart-v2-05-r37-210-1991-11-commodore-h-developer.rom	moved
Kickstart v2.05 r37.210 (1991-11)(Commodore)[h][developer][KickIt].zip	kickstart/v2-05-r37-210/common/hack-developer-kickit/kickstart-v2-05-r37-210-1991-11-commodore-h-developer-kickit.rom	moved
Kickstart v2.05 r37.299 (1991-11)(Commodore)(A600)[!].zip	kickstart/v2-05-r37-299/a600/good/kickstart-v2-05-r37-299-1991-11-commodore-a600-good.rom	moved
Kickstart v2.05 r37.300 (1991-11)(Commodore)(A600HD)[!].zip	kickstart/v2-05-r37-300/a600hd/good/kickstart-v2-05-r37-300-1991-11-commodore-a600hd-good.rom	moved
Kickstart v2.05 r37.350 (1992-04)(Commodore)(A600HD)[!].zip	kickstart/v2-05-r37-350/a600hd/good/kickstart-v2-05-r37-350-1992-04-commodore-a600hd-good.rom	moved
Kickstart v3.0 r39.065 (1992-04)(Commodore)(A3000)(beta).zip	kickstart/v3-0-r39-065/a3000/beta/kickstart-v3-0-r39-065-1992-04-commodore-a3000-beta.rom	moved
Kickstart v3.0 r39.092 (1992-07)(Commodore)(A600)(beta)[!].zip	kickstart/v3-0-r39-092/a600/beta-good/kickstart-v3-0-r39-092-1992-07-commodore-a600-beta-good.rom	moved
Kickstart v3.0 r39.106 (1992-09)(Commodore)(A1200)[!].zip	kickstart/v3-0-r39-106/a1200/good/kickstart-v3-0-r39-106-1992-09-commodore-a1200-good.rom	moved
Kickstart v3.0 r39.106 (1992-09)(Commodore)(A4000)[!].zip	kickstart/v3-0-r39-106/a4000/good/kickstart-v3-0-r39-106-1992-09-commodore-a4000-good.rom	moved
Kickstart v3.0 r39.106 (1992-09)(Commodore)(A4000)[encrypted, needs rom.key].zip	kickstart/v3-0-r39-106/a4000/encrypted-needs-rom-key/kickstart-v3-0-r39-106-1992-09-commodore-a4000-encrypted-needs-rom-key.rom	moved
Kickstart v3.0 r39.115 (1992)(Commodore).zip	kickstart/v3-0-r39-115/common/standard/kickstart-v3-0-r39-115-1992-commodore.rom	moved
Kickstart v3.1 r40.003 (1993)(Commodore)(A600)(beta).zip	kickstart/v3-1-r40-003/a600/beta/kickstart-v3-1-r40-003-1993-commodore-a600-beta.rom	moved
Kickstart v3.1 r40.038 (1993-04)(Commodore)(A3000)(beta)[with bonus].zip	kickstart/v3-1-r40-038/a3000/beta-with-bonus/kickstart-v3-1-r40-038-1993-04-commodore-a3000-beta-with-bonus.rom	moved
Kickstart v3.1 r40.038 (1993-04)(Commodore)(A4000)(beta).zip	kickstart/v3-1-r40-038/a4000/beta/kickstart-v3-1-r40-038-1993-04-commodore-a4000-beta.rom	moved
Kickstart v3.1 r40.055 (1993-05)(Commodore)(A3000)(beta).zip	kickstart/v3-1-r40-055/a3000/beta/kickstart-v3-1-r40-055-1993-05-commodore-a3000-beta.rom	moved
Kickstart v3.1 r40.055 (1993-05)(Commodore)(A3000)(beta)[h ShapeShifter].zip	kickstart/v3-1-r40-055/a3000/beta-hack-shapeshifter/kickstart-v3-1-r40-055-1993-05-commodore-a3000-beta-h-shapeshifter.rom	moved
Kickstart v3.1 r40.055 (1993-05)(Commodore)(A3000)(beta)[h ShapeShifter][with bonus].zip	kickstart/v3-1-r40-055/a3000/beta-hack-shapeshifter-with-bonus/kickstart-v3-1-r40-055-1993-05-commodore-a3000-beta-h-shapeshifter-with-bonus.rom	moved
Kickstart v3.1 r40.055 (1993-05)(Commodore)(A4000)(beta)[h].zip	kickstart/v3-1-r40-055/a4000/beta-hack/kickstart-v3-1-r40-055-1993-05-commodore-a4000-beta-h.rom	moved
Kickstart v3.1 r40.060 (1993-05)(Commodore)(CD32)[!].zip	kickstart/v3-1-r40-060/cd32/good/kickstart-v3-1-r40-060-1993-05-commodore-cd32-good.rom	moved
Kickstart v3.1 r40.062 (1993)(Commodore)(A600)[h].zip	kickstart/v3-1-r40-062/a600/hack/kickstart-v3-1-r40-062-1993-commodore-a600-h.rom	moved
Kickstart v3.1 r40.062 (1993-07)(Commodore)(A3000)(beta)[h].zip	kickstart/v3-1-r40-062/a3000/beta-hack/kickstart-v3-1-r40-062-1993-07-commodore-a3000-beta-h.rom	moved
Kickstart v3.1 r40.062 (1993-07)(Commodore)(A3000)(beta)[h][with bonus].zip	kickstart/v3-1-r40-062/a3000/beta-hack-with-bonus/kickstart-v3-1-r40-062-1993-07-commodore-a3000-beta-h-with-bonus.rom	moved
Kickstart v3.1 r40.063 (1993-07)(Commodore)(A500-A600-A2000)[!].zip	kickstart/v3-1-r40-063/a500-a600-a2000/good/kickstart-v3-1-r40-063-1993-07-commodore-a500-a600-a2000-good.rom	moved
Kickstart v3.1 r40.063 (1993-07)(Commodore)(A500-A600-A2000)[b2].zip	kickstart/v3-1-r40-063/a500-a600-a2000/bad-dump-2/kickstart-v3-1-r40-063-1993-07-commodore-a500-a600-a2000-b2.rom	moved
Kickstart v3.1 r40.063 (1993-07)(Commodore)(A500-A600-A2000)[b].zip	kickstart/v3-1-r40-063/a500-a600-a2000/bad-dump/kickstart-v3-1-r40-063-1993-07-commodore-a500-a600-a2000-b.rom	moved
Kickstart v3.1 r40.063 (1993-07)(Commodore)(A500-A600-A2000)[h ShapeShifter].zip	kickstart/v3-1-r40-063/a500-a600-a2000/hack-shapeshifter/kickstart-v3-1-r40-063-1993-07-commodore-a500-a600-a2000-h-shapeshifter.rom	moved
Kickstart v3.1 r40.063 (1993-07)(Commodore)(A500-A600-A2000)[o][b].zip	kickstart/v3-1-r40-063/a500-a600-a2000/overdump-bad-dump/kickstart-v3-1-r40-063-1993-07-commodore-a500-a600-a2000-o-b.rom	moved
Kickstart v3.1 r40.068 (1993-12)(Commodore)(A1200)[!].zip	kickstart/v3-1-r40-068/a1200/good/kickstart-v3-1-r40-068-1993-12-commodore-a1200-good.rom	moved
Kickstart v3.1 r40.068 (1993-12)(Commodore)(A1200)[f Harry Sintonen][h version number].zip	kickstart/v3-1-r40-068/a1200/fixed-harry-sintonen-hack-version-number/kickstart-v3-1-r40-068-1993-12-commodore-a1200-f-harry-sintonen-h-version-number.rom	moved
Kickstart v3.1 r40.068 (1993-12)(Commodore)(A1200)[h ShapeShifter].zip	kickstart/v3-1-r40-068/a1200/hack-shapeshifter/kickstart-v3-1-r40-068-1993-12-commodore-a1200-h-shapeshifter.rom	moved
Kickstart v3.1 r40.068 (1993-12)(Commodore)(A3000)[!].zip	kickstart/v3-1-r40-068/a3000/good/kickstart-v3-1-r40-068-1993-12-commodore-a3000-good.rom	moved
Kickstart v3.1 r40.068 (1993-12)(Commodore)(A4000)[!].zip	kickstart/v3-1-r40-068/a4000/good/kickstart-v3-1-r40-068-1993-12-commodore-a4000-good.rom	moved
Kickstart v3.1 r40.068 (1993-12)(Commodore)(A4000)[encrypted, needs rom.key].zip	kickstart/v3-1-r40-068/a4000/encrypted-needs-rom-key/kickstart-v3-1-r40-068-1993-12-commodore-a4000-encrypted-needs-rom-key.rom	moved
Kickstart v3.1 r40.068 (1993-12)(Commodore)(A4000)[h Cloanto].zip	kickstart/v3-1-r40-068/a4000/hack-cloanto/kickstart-v3-1-r40-068-1993-12-commodore-a4000-h-cloanto.rom	moved
Kickstart v3.1 r40.068 (1993-12)(Commodore)(A4000)[h ShapeShifter].zip	kickstart/v3-1-r40-068/a4000/hack-shapeshifter/kickstart-v3-1-r40-068-1993-12-commodore-a4000-h-shapeshifter.rom	moved
Kickstart v3.1 r40.068 (1993-12)(Commodore)(A600)(beta)[!][developer].zip	kickstart/v3-1-r40-068/a600/beta-good-developer/kickstart-v3-1-r40-068-1993-12-commodore-a600-beta-good-developer.rom	moved
Kickstart v3.1 r40.068 (1993-12)(Commodore)(A600)(beta)[h][developer].zip	kickstart/v3-1-r40-068/a600/beta-hack-developer/kickstart-v3-1-r40-068-1993-12-commodore-a600-beta-h-developer.rom	moved
Kickstart v3.1 r40.070 (1994-02)(Commodore)(A3000)(beta)[h].zip	kickstart/v3-1-r40-070/a3000/beta-hack/kickstart-v3-1-r40-070-1994-02-commodore-a3000-beta-h.rom	moved
Kickstart v3.1 r40.070 (1994-02)(Commodore)(A4000)(beta)[!].zip	kickstart/v3-1-r40-070/a4000/beta-good/kickstart-v3-1-r40-070-1994-02-commodore-a4000-beta-good.rom	moved
Kickstart v3.1 r40.070 (1994-02)(Commodore)(A4000)(beta)[b].zip	kickstart/v3-1-r40-070/a4000/beta-bad-dump/kickstart-v3-1-r40-070-1994-02-commodore-a4000-beta-b.rom	moved
Kickstart v3.1 r40.070 (1994-02)(Commodore)(A4000)(beta)[h2].zip	kickstart/v3-1-r40-070/a4000/beta-hack-2/kickstart-v3-1-r40-070-1994-02-commodore-a4000-beta-h2.rom	moved
Kickstart v3.1 r40.070 (1994-02)(Commodore)(A4000)(beta)[h].zip	kickstart/v3-1-r40-070/a4000/beta-hack/kickstart-v3-1-r40-070-1994-02-commodore-a4000-beta-h.rom	moved
Kickstart v3.1 r40.070 (1994-02)(Commodore)(A4000)(beta)[h][faked v3.5].zip	kickstart/v3-1-r40-070/a4000/beta-hack-faked-v3-5/kickstart-v3-1-r40-070-1994-02-commodore-a4000-beta-h-faked-v3-5.rom	moved
Kickstart v3.1 r40.070 (1994-02)(Commodore)(A4000T)[!].zip	kickstart/v3-1-r40-070/a4000t/good/kickstart-v3-1-r40-070-1994-02-commodore-a4000t-good.rom	moved
Kickstart v3.1 r40.070 (1994-02)(Commodore)(A500-A600-A2000)(beta)[h].zip	kickstart/v3-1-r40-070/a500-a600-a2000/beta-hack/kickstart-v3-1-r40-070-1994-02-commodore-a500-a600-a2000-beta-h.rom	moved
Nordic Power v1.5 (1989)(Data & Electronics).zip	cartridges/nordic-power/v1-5/standard/nordic-power-v1-5-1989-data-and-electronics.rom	moved
Nordic Power v2.0 (1990)(Data & Electronics).zip	cartridges/nordic-power/v2-0/standard/nordic-power-v2-0-1990-data-and-electronics.rom	moved
Nordic Power v3.0 (1990)(Data & Electronics).zip	cartridges/nordic-power/v3-0/standard/nordic-power-v3-0-1990-data-and-electronics.rom	moved
X-Power Professional 500 v1.2 (1991)(Design & Engineering).zip	cartridges/x-power-professional-500/v1-2/standard/x-power-professional-500-v1-2-1991-design-and-engineering.rom	moved
X-Power Professional 500 v1.3 (1991)(Design & Engineering).zip	cartridges/x-power-professional-500/v1-3/standard/x-power-professional-500-v1-3-1991-design-and-engineering.rom	moved
Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV)[!].rom	kickstart/v1-3-r34-005/a500-a1000-a2000-cdtv/good/kickstart-v1-3-r34-005-1987-12-commodore-a500-a1000-a2000-cdtv-good.rom	duplicate-same-content
Kickstart v3.1 r40.068 (1993-12)(Commodore)(A1200)[f Harry Sintonen][h version number].rom	kickstart/v3-1-r40-068/a1200/fixed-harry-sintonen-hack-version-number/kickstart-v3-1-r40-068-1993-12-commodore-a1200-f-harry-sintonen-h-version-number.rom	duplicate-same-content
