current_path	proposed_path	category	move_priority	notes
aMiLa/amiga_sources/VHScroll	aMiLa/amiga_sources/demos/asm-effects/VHScroll	asm-demos	first	Compact buildable demo.
aMiLa/amiga_sources/ab3dtrainer	aMiLa/amiga_sources/tools/ab3dtrainer	tools	later	Utility/trainer.
aMiLa/amiga_sources/abackup	aMiLa/amiga_sources/applications/abackup	applications	later	Application.
aMiLa/amiga_sources/abacus	aMiLa/amiga_sources/applications/abacus	applications	later	Application.
aMiLa/amiga_sources/addicts	aMiLa/amiga_sources/demos/intros/addicts	asm-demos	later	Inspect first.
aMiLa/amiga_sources/aduintro1	aMiLa/amiga_sources/demos/intros/aduintro1	asm-demos	later	Intro.
aMiLa/amiga_sources/aduintro2	aMiLa/amiga_sources/demos/intros/aduintro2	asm-demos	later	Intro.
aMiLa/amiga_sources/aduintro3	aMiLa/amiga_sources/demos/intros/aduintro3	asm-demos	later	Intro.
aMiLa/amiga_sources/aegisanimator	aMiLa/amiga_sources/applications/aegisanimator	applications	later	Large app/archive.
aMiLa/amiga_sources/ambermoon	aMiLa/amiga_sources/games/ambermoon	games	later	Large game archive.
aMiLa/amiga_sources/amiftp	aMiLa/amiga_sources/applications/amiftp	applications	later	Application.
aMiLa/amiga_sources/amiga-c	aMiLa/amiga_sources/learning/amiga-c	learning	first	High-value examples.
aMiLa/amiga_sources/amiga-dev	aMiLa/amiga_sources/learning/amiga-dev	learning	first	High-value dev examples.
aMiLa/amiga_sources/amiga-parcade	aMiLa/amiga_sources/games/amiga-parcade	games	later	Game project.
aMiLa/amiga_sources/amiga-playground	aMiLa/amiga_sources/learning/amiga-playground	learning	first	Playground examples.
aMiLa/amiga_sources/amiga-stuff	aMiLa/amiga_sources/reference/amiga-stuff	reference	later	Mixed reference.
aMiLa/amiga_sources/amiga_asmdev_workflow	aMiLa/amiga_sources/learning/amiga_asmdev_workflow	learning	first	Buildable asm workflow.
aMiLa/amiga_sources/amiga_examples	aMiLa/amiga_sources/learning/amiga_examples	learning	first	Buildable examples.
aMiLa/amiga_sources/amiga_game_prog	aMiLa/amiga_sources/learning/amiga_game_prog	learning	first	Game programming examples.
aMiLa/amiga_sources/amiga_hardware_in_c	aMiLa/amiga_sources/learning/amiga_hardware_in_c	learning	first	Hardware C examples.
aMiLa/amiga_sources/amiga_sources	aMiLa/amiga_sources/reference/amiga_sources	reference	later	Broad source dump.
aMiLa/amiga_sources/amigaexamples	aMiLa/amiga_sources/learning/amigaexamples	learning	first	Examples.
aMiLa/amiga_sources/analay	aMiLa/amiga_sources/applications/analay	applications	later	Application.
aMiLa/amiga_sources/anthrox	aMiLa/amiga_sources/demos/intros/anthrox	asm-demos	later	Inspect first.
aMiLa/amiga_sources/artpro	aMiLa/amiga_sources/applications/artpro	applications	later	Application/archive.
aMiLa/amiga_sources/assemble-amiga	aMiLa/amiga_sources/toolchains/assemble-amiga	toolchains	later	Assembler source.
aMiLa/amiga_sources/aw2intro	aMiLa/amiga_sources/demos/intros/aw2intro	asm-demos	later	Intro.
aMiLa/amiga_sources/awesome-amiga	aMiLa/amiga_sources/reference/awesome-amiga	reference	later	List/reference.
aMiLa/amiga_sources/b13intro	aMiLa/amiga_sources/demos/intros/b13intro	asm-demos	later	Intro.
aMiLa/amiga_sources/blueintro	aMiLa/amiga_sources/demos/intros/blueintro	asm-demos	later	Intro.
aMiLa/amiga_sources/blurredvex	aMiLa/amiga_sources/demos/asm-effects/blurredvex	asm-demos	later	Effect demo.
aMiLa/amiga_sources/bobsdemo	aMiLa/amiga_sources/demos/asm-effects/bobsdemo	asm-demos	later	BOB demo.
aMiLa/amiga_sources/bootintro	aMiLa/amiga_sources/demos/intros/bootintro	asm-demos	later	Intro.
aMiLa/amiga_sources/bulletinsscreen	aMiLa/amiga_sources/demos/asm-effects/bulletinsscreen	asm-demos	later	Screen/effect demo.
aMiLa/amiga_sources/bytekillcli	aMiLa/amiga_sources/tools/bytekillcli	tools	later	Inspect first.
aMiLa/amiga_sources/chaosArena	aMiLa/amiga_sources/games/chaosArena	games	later	Game project.
aMiLa/amiga_sources/checkers	aMiLa/amiga_sources/games/checkers	games	later	Game project.
aMiLa/amiga_sources/clib2	aMiLa/amiga_sources/libraries/clib2	libraries	later	Runtime library.
aMiLa/amiga_sources/complete-ndk39	aMiLa/amiga_sources/libraries/complete-ndk39	libraries	later	NDK material.
aMiLa/amiga_sources/diskmaster2	aMiLa/amiga_sources/applications/diskmaster2	applications	later	Large application.
aMiLa/amiga_sources/displayer	aMiLa/amiga_sources/tools/displayer	tools	later	Inspect first.
aMiLa/amiga_sources/dos2dos	aMiLa/amiga_sources/tools/dos2dos	tools	later	Utility.
aMiLa/amiga_sources/dotsmania	aMiLa/amiga_sources/demos/asm-effects/dotsmania	asm-demos	later	Effect demo.
aMiLa/amiga_sources/dotstwist	aMiLa/amiga_sources/demos/asm-effects/dotstwist	asm-demos	later	Effect demo.
aMiLa/amiga_sources/dragon	aMiLa/amiga_sources/demos/asm-effects/dragon	asm-demos	later	Inspect first.
aMiLa/amiga_sources/germz	aMiLa/amiga_sources/games/germz	games	later	Game project.
aMiLa/amiga_sources/glenzvex	aMiLa/amiga_sources/demos/asm-effects/glenzvex	asm-demos	later	Effect demo.
aMiLa/amiga_sources/goblin-villages	aMiLa/amiga_sources/games/goblin-villages	games	later	Game project.
aMiLa/amiga_sources/graphics	aMiLa/amiga_sources/examples/c/graphics	c-examples	later	Inspect first.
aMiLa/amiga_sources/helloBars	aMiLa/amiga_sources/demos/asm-effects/helloBars	asm-demos	first	Small visual demo.
aMiLa/amiga_sources/hippoplayer	aMiLa/amiga_sources/applications/hippoplayer	applications	later	Large app/player.
aMiLa/amiga_sources/hiresintro	aMiLa/amiga_sources/demos/intros/hiresintro	asm-demos	later	Intro.
aMiLa/amiga_sources/identify	aMiLa/amiga_sources/tools/identify	tools	later	Hardware utility.
aMiLa/amiga_sources/iffconv	aMiLa/amiga_sources/tools/iffconv	tools	later	Conversion utility.
aMiLa/amiga_sources/iffpicture	aMiLa/amiga_sources/examples/c/iffpicture	c-examples	later	IFF example.
aMiLa/amiga_sources/impsbru	aMiLa/amiga_sources/applications/impsbru	applications	later	Application.
aMiLa/amiga_sources/introins	aMiLa/amiga_sources/demos/intros/introins	asm-demos	later	Intro.
aMiLa/amiga_sources/intuition	aMiLa/amiga_sources/examples/c/intuition	c-examples	later	Intuition examples.
aMiLa/amiga_sources/ld40-squared	aMiLa/amiga_sources/games/ld40-squared	games	later	Game project.
aMiLa/amiga_sources/m68k-amigaos-gcc	aMiLa/amiga_sources/toolchains/m68k-amigaos-gcc	toolchains	later	Toolchain.
aMiLa/amiga_sources/m68k-elf-gcc	aMiLa/amiga_sources/toolchains/m68k-elf-gcc	toolchains	later	Toolchain.
aMiLa/amiga_sources/mac2dos	aMiLa/amiga_sources/tools/mac2dos	tools	later	Conversion utility.
aMiLa/amiga_sources/marantzintro2	aMiLa/amiga_sources/demos/intros/marantzintro2	asm-demos	later	Intro.
aMiLa/amiga_sources/melonbb	aMiLa/amiga_sources/demos/asm-effects/melonbb	asm-demos	later	Effect demo.
aMiLa/amiga_sources/meloncr	aMiLa/amiga_sources/demos/asm-effects/meloncr	asm-demos	later	Effect demo.
aMiLa/amiga_sources/melonsf2	aMiLa/amiga_sources/demos/asm-effects/melonsf2	asm-demos	later	Effect demo.
aMiLa/amiga_sources/misc-asm-68k-amiga-ocs	aMiLa/amiga_sources/learning/misc-asm-68k-amiga-ocs	learning	first	OCS assembly examples.
aMiLa/amiga_sources/mod1	aMiLa/amiga_sources/demos/asm-effects/mod1	asm-demos	later	Music demo.
aMiLa/amiga_sources/muidev	aMiLa/amiga_sources/examples/c/muidev	c-examples	later	MUI examples.
aMiLa/amiga_sources/newdos	aMiLa/amiga_sources/libraries/newdos	libraries	later	Inspect first.
aMiLa/amiga_sources/newstartup	aMiLa/amiga_sources/tools/newstartup	tools	later	Startup/system utility.
aMiLa/amiga_sources/openFire	aMiLa/amiga_sources/games/openFire	games	later	Game project.
aMiLa/amiga_sources/other	aMiLa/amiga_sources/uncurated/other	uncurated	later	Mixed bucket.
aMiLa/amiga_sources/pdalink	aMiLa/amiga_sources/applications/pdalink	applications	later	Application.
aMiLa/amiga_sources/picconv	aMiLa/amiga_sources/tools/picconv	tools	later	Picture conversion.
aMiLa/amiga_sources/pics	aMiLa/amiga_sources/uncurated/pics	uncurated	later	Asset bucket.
aMiLa/amiga_sources/psychad2	aMiLa/amiga_sources/demos/intros/psychad2	asm-demos	later	Intro/effect.
aMiLa/amiga_sources/psychad3	aMiLa/amiga_sources/demos/intros/psychad3	asm-demos	later	Intro/effect.
aMiLa/amiga_sources/purpleintro	aMiLa/amiga_sources/demos/intros/purpleintro	asm-demos	later	Intro.
aMiLa/amiga_sources/rainbow	aMiLa/amiga_sources/demos/asm-effects/rainbow	asm-demos	first	Small visual demo.
aMiLa/amiga_sources/reality	aMiLa/amiga_sources/demos/asm-effects/reality	asm-demos	later	Inspect first.
aMiLa/amiga_sources/sfdc	aMiLa/amiga_sources/tools/sfdc	tools	later	Inspect first.
aMiLa/amiga_sources/sinescroller	aMiLa/amiga_sources/demos/asm-effects/sinescroller	asm-demos	first	Classic effect demo.
aMiLa/amiga_sources/sinewobble	aMiLa/amiga_sources/demos/asm-effects/sinewobble	asm-demos	first	Classic effect demo.
aMiLa/amiga_sources/skidrow	aMiLa/amiga_sources/demos/intros/skidrow	asm-demos	later	Inspect first.
aMiLa/amiga_sources/starsintro	aMiLa/amiga_sources/demos/intros/starsintro	asm-demos	later	Intro.
aMiLa/amiga_sources/text	aMiLa/amiga_sources/examples/c/text	c-examples	later	Text examples.
aMiLa/amiga_sources/textintro	aMiLa/amiga_sources/demos/intros/textintro	asm-demos	later	Intro.
aMiLa/amiga_sources/trance	aMiLa/amiga_sources/demos/asm-effects/trance	asm-demos	later	Inspect first.
aMiLa/amiga_sources/tutorials	aMiLa/amiga_sources/learning/tutorials	learning	first	Tutorial material.
aMiLa/amiga_sources/unfinished	aMiLa/amiga_sources/uncurated/unfinished	uncurated	later	Unfinished material.
aMiLa/amiga_sources/unityintro1	aMiLa/amiga_sources/demos/intros/unityintro1	asm-demos	later	Intro.
aMiLa/amiga_sources/unityintro2	aMiLa/amiga_sources/demos/intros/unityintro2	asm-demos	later	Intro.
aMiLa/amiga_sources/unlimitedbobs	aMiLa/amiga_sources/demos/asm-effects/unlimitedbobs	asm-demos	later	BOB demo.
aMiLa/amiga_sources/uuid_lib	aMiLa/amiga_sources/libraries/uuid_lib	libraries	later	Library.
aMiLa/amiga_sources/vasm	aMiLa/amiga_sources/toolchains/vasm	toolchains	later	Assembler.
aMiLa/amiga_sources/vbcc	aMiLa/amiga_sources/toolchains/vbcc	toolchains	later	Compiler.
aMiLa/amiga_sources/vexintro	aMiLa/amiga_sources/demos/intros/vexintro	asm-demos	later	Intro.
aMiLa/amiga_sources/vscode-amiga-assembly	aMiLa/amiga_sources/toolchains/vscode-amiga-assembly	toolchains	later	VS Code extension.
aMiLa/amiga_sources/vscode-amiga-debug	aMiLa/amiga_sources/toolchains/vscode-amiga-debug	toolchains	later	VS Code extension.
aMiLa/amiga_sources/wraith	aMiLa/amiga_sources/demos/asm-effects/wraith	asm-demos	later	Inspect first.
aMiLa/amiga_sources/yam	aMiLa/amiga_sources/applications/yam	applications	later	Large app.
