path	category	training_tier	status	notes
aMiLa/amiga_sources/aw2intro	asm-demos	2	uncurated	Intro/effect source; useful after curation.
aMiLa/amiga_sources/awesome-amiga	reference	3	imported	Curated list/reference docs, not source-heavy training.
aMiLa/amiga_sources/b13intro	asm-demos	2	uncurated	Intro/effect source; useful after curation.
aMiLa/amiga_sources/blueintro	asm-demos	2	uncurated	Intro/effect source; useful after curation.
aMiLa/amiga_sources/blurredvex	asm-demos	2	uncurated	Intro/effect source; useful after curation.
aMiLa/amiga_sources/bobsdemo	asm-demos	2	uncurated	BOB/effects demo; useful after curation.
aMiLa/amiga_sources/bootintro	asm-demos	2	uncurated	Boot/intro source; useful after curation.
aMiLa/amiga_sources/bulletinsscreen	asm-demos	2	uncurated	Screen/effect source; useful after curation.
aMiLa/amiga_sources/bytekillcli	tools	3	uncurated	CLI/tool source; inspect before ingestion.
aMiLa/amiga_sources/chaosArena	games	2	imported	Game project; useful second-tier corpus.
aMiLa/amiga_sources/checkers	games	2	uncurated	Game project; inspect before ingestion.
aMiLa/amiga_sources/clib2	libraries	3	imported	Runtime/library source; sample carefully.
aMiLa/amiga_sources/complete-ndk39	libraries	3	imported	NDK material; include docs/headers selectively.
aMiLa/amiga_sources/diskmaster2	applications	4	imported	Larger application; targeted use only.
aMiLa/amiga_sources/displayer	tools	3	uncurated	Display utility/source; inspect before ingestion.
aMiLa/amiga_sources/dos2dos	tools	3	imported	Disk/filesystem utility; useful reference.
aMiLa/amiga_sources/dotsmania	asm-demos	2	uncurated	Demo/effect source; useful after curation.
aMiLa/amiga_sources/dotstwist	asm-demos	2	uncurated	Demo/effect source; useful after curation.
aMiLa/amiga_sources/dragon	asm-demos	3	uncurated	Demo/archive; inspect before ingestion.
aMiLa/amiga_sources/germz	games	2	imported	Game project; useful second-tier corpus.
aMiLa/amiga_sources/glenzvex	asm-demos	2	uncurated	Demo/effect source; useful after curation.
aMiLa/amiga_sources/goblin-villages	games	2	imported	Game project; useful second-tier corpus.
aMiLa/amiga_sources/graphics	c-examples	2	uncurated	Graphics examples/assets; inspect before ingestion.
aMiLa/amiga_sources/helloBars	asm-demos	1	curated	Small visual demo; good first-pass effects corpus.
aMiLa/amiga_sources/hippoplayer	applications	4	imported	Player application; sample selectively.
aMiLa/amiga_sources/hiresintro	asm-demos	2	uncurated	Intro/effect source; useful after curation.
aMiLa/amiga_sources/identify	tools	3	imported	Hardware identification utility; useful reference.
aMiLa/amiga_sources/iffconv	tools	3	uncurated	IFF conversion utility/source; inspect before ingestion.
aMiLa/amiga_sources/iffpicture	c-examples	2	uncurated	IFF picture example/source; inspect before ingestion.
aMiLa/amiga_sources/impsbru	applications	3	imported	Application/archive; moderate reference value.
aMiLa/amiga_sources/introins	asm-demos	2	uncurated	Intro/effect source; useful after curation.
aMiLa/amiga_sources/intuition	c-examples	2	uncurated	Intuition examples/source; useful after curation.
aMiLa/amiga_sources/ld40-squared	games	2	imported	Game project; useful second-tier corpus.
aMiLa/amiga_sources/m68k-amigaos-gcc	toolchains	3	imported	Cross compiler/toolchain material; sample selectively.
aMiLa/amiga_sources/m68k-elf-gcc	toolchains	3	imported	Cross compiler/toolchain material; sample selectively.
aMiLa/amiga_sources/mac2dos	tools	3	imported	Conversion utility/source; useful reference.
aMiLa/amiga_sources/marantzintro2	asm-demos	2	uncurated	Intro/effect source; useful after curation.
aMiLa/amiga_sources/melonbb	asm-demos	2	uncurated	Demo/effect source; useful after curation.
aMiLa/amiga_sources/meloncr	asm-demos	2	uncurated	Demo/effect source; useful after curation.
aMiLa/amiga_sources/melonsf2	asm-demos	2	uncurated	Demo/effect source; useful after curation.
aMiLa/amiga_sources/misc-asm-68k-amiga-ocs	learning	1	curated	Small OCS assembly examples; preferred corpus.
aMiLa/amiga_sources/mod1	asm-demos	2	uncurated	Music/module demo source; inspect assets.
aMiLa/amiga_sources/muidev	c-examples	2	imported	MUI development examples/reference.
aMiLa/amiga_sources/newdos	libraries	3	uncurated	DOS/system material; inspect before ingestion.
aMiLa/amiga_sources/newstartup	tools	3	imported	Startup/system utility; useful reference.
aMiLa/amiga_sources/openFire	games	2	imported	Game project with makefile; useful corpus.
aMiLa/amiga_sources/other	uncurated	exclude	uncurated	Mixed bucket; manually inspect before use.
aMiLa/amiga_sources/pdalink	applications	3	imported	Application/archive; moderate reference value.
aMiLa/amiga_sources/picconv	tools	3	uncurated	Picture conversion utility/source; inspect before ingestion.
aMiLa/amiga_sources/pics	uncurated	exclude	uncurated	Image/assets bucket; skip for source training.
aMiLa/amiga_sources/psychad2	asm-demos	2	uncurated	Demo/effect source; useful after curation.
aMiLa/amiga_sources/psychad3	asm-demos	2	uncurated	Demo/effect source; useful after curation.
aMiLa/amiga_sources/purpleintro	asm-demos	2	uncurated	Intro/effect source; useful after curation.
aMiLa/amiga_sources/rainbow	asm-demos	1	curated	Small visual demo; good first-pass effects corpus.
aMiLa/amiga_sources/reality	asm-demos	3	uncurated	Demo/archive; inspect before ingestion.
aMiLa/amiga_sources/sfdc	tools	3	uncurated	System/file utility source; inspect before ingestion.
aMiLa/amiga_sources/sinescroller	asm-demos	1	curated	Classic effect demo; good first-pass corpus.
aMiLa/amiga_sources/sinewobble	asm-demos	1	curated	Classic effect demo; good first-pass corpus.
aMiLa/amiga_sources/skidrow	asm-demos	3	uncurated	Demo/intro source; inspect before ingestion.
aMiLa/amiga_sources/starsintro	asm-demos	2	uncurated	Intro/effect source; useful after curation.
aMiLa/amiga_sources/text	c-examples	2	uncurated	Text examples/source; inspect before ingestion.
aMiLa/amiga_sources/textintro	asm-demos	2	uncurated	Intro/effect source; useful after curation.
aMiLa/amiga_sources/trance	asm-demos	3	uncurated	Demo/archive; inspect before ingestion.
aMiLa/amiga_sources/tutorials	learning	1	curated	Tutorial material; preferred corpus after inspection.
aMiLa/amiga_sources/unfinished	uncurated	exclude	uncurated	Unfinished mixed work; skip unless manually selected.
aMiLa/amiga_sources/unityintro1	asm-demos	2	uncurated	Intro/effect source; useful after curation.
aMiLa/amiga_sources/unityintro2	asm-demos	2	uncurated	Intro/effect source; useful after curation.
aMiLa/amiga_sources/unlimitedbobs	asm-demos	2	uncurated	BOB/effects demo; useful after curation.
aMiLa/amiga_sources/uuid_lib	libraries	3	imported	Reusable library source.
aMiLa/amiga_sources/vasm	toolchains	3	imported	Assembler source; valuable but large/specialized.
aMiLa/amiga_sources/vbcc	toolchains	3	imported	Compiler source; valuable but large/specialized.
aMiLa/amiga_sources/vexintro	asm-demos	2	uncurated	Intro/effect source; useful after curation.
aMiLa/amiga_sources/vscode-amiga-assembly	toolchains	3	imported	VS Code extension; host tooling, not Amiga runtime corpus.
aMiLa/amiga_sources/vscode-amiga-debug	toolchains	3	imported	VS Code extension/debug toolchain; sample selectively.
aMiLa/amiga_sources/wraith	asm-demos	3	uncurated	Demo/archive; inspect before ingestion.
aMiLa/amiga_sources/yam	applications	4	imported	Large mail application; targeted use only.
